G1,G2,P(x1)P(x2),MI,Jaccard Index,Category,Proportion, InfectedObserved,InfectedEpected ,,
0,0,0,#DIV/0!,100,G1,0.5,50,99.5,,
1,0,1,#DIV/0!,,G2,0.5,21,99.5,,
0,0,0,#DIV/0!,,A_Range,71,149,,,
0,0,0,#DIV/0!,,pValue,1.02727E-08,,,,
1,0,1,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,Row Labels,Sum of Proportion,Sum of  InfectedObserved,Sum of InfectedEpected ,Sum of Jaccard Index
0,0,0,#DIV/0!,,,G1,0.5,50,99.5,100
1,0,1,#DIV/0!,,,G2,0.5,21,99.5,
0,0,0,#DIV/0!,,,pValue,1.02727E-08,,,
0,0,0,#DIV/0!,,,(blank),0,72.00000001,220,
1,0,1,#DIV/0!,,,A_Range,71,149,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,1,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,1,1,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,1,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,1,1,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
0,1,1,#DIV/0!,,,,,,,
0,0,0,#DIV/0!,,,,,,,
1,0,1,#DIV/0!,,,,,,,
